Name,Link,Aliases
Vernon Dursley,/wiki/Vernon_Dursley,"['Mr. Dursley', 'Vernon']"
Petunia Dursley,/wiki/Petunia_Dursley,"['Tuney', 'Petunia', 'Mrs. Dursley']"
Dudley Dursley,/wiki/Dudley_Dursley,"['Dudley', 'Dudders', 'Diddykins', 'Popkin', ""Big 'D'"", 'Diddy', 'My Neffy Poo', 'Ickle Dudleykins', 'Dinky Diddydums']"
Lily Potter,/wiki/Lily_J._Potter,"['Lily', 'Mrs. Potter']"
James Potter,/wiki/James_Potter_I,"['Prongs', 'James']"
Harry Potter,/wiki/Harry_Potter,"['The Boy Who Lied', 'Lightning', 'Potty', 'Mr. Potter', 'Harry', 'The Boy Who Lived', 'Vernon Dudley', 'The Chosen One', 'Undesirable No. 1', 'Plotter']"
Violet-cloaked wizard,/wiki/Violet-cloaked_wizard,[]
Lord Voldemort,/wiki/Tom_Riddle,"['Chief Death Eater', 'He-Who-Must-Not-Be-Named', 'The Dark Lord', 'You-Know-Who', 'Lord', 'My Lord', 'Heir of Slytherin']"
Jim McGuffin,/wiki/Jim_McGuffin,['Jim']
Ted,/wiki/Ted,[]
Vernon Dursley's secretary,/wiki/Vernon_Dursley%27s_secretary,[]
Albus Dumbledore,/wiki/Albus_Dumbledore,"['Dumbledore', 'Albus']"
Minerva McGonagall,/wiki/Minerva_McGonagall,"['McGonagall', 'Minerva']"
Dedalus Diggle,/wiki/Dedalus_Diggle,"['Dedalus', 'Diggle']"
Poppy Pomfrey,/wiki/Poppy_Pomfrey,"['Pomfrey', 'Poppy']"
Rubeus Hagrid,/wiki/Rubeus_Hagrid,"['Hagrid', 'Hagger', 'Rubeus']"
Sirius Black,/wiki/Sirius_Black,"['Sirius', 'Padfoot', 'Snuffles']"
Marge Dursley,/wiki/Marjorie_Dursley,"['Margie', 'Aunt Marge', 'Marge', 'Auntie Marge']"
Arabella Figg,/wiki/Arabella_Figg,"['Arabella', 'Mrs. Figg']"
Tibbles,/wiki/Mr_Tibbles,[]
Snowy,/wiki/Snowy,[]
Mr Paws,/wiki/Mr_Paws,['Mr. Paws']
Tufty,/wiki/Tufty,[]
Yvonne,/wiki/Yvonne,[]
Piers Polkiss,/wiki/Piers_Polkiss,['Piers']
Piers Polkiss's mother,/wiki/Piers_Polkiss%27s_mother,[]
Keeper of the reptile house,/wiki/Keeper_of_the_reptile_house,['Keeper']
Zoo director,/wiki/Zoo_director,[]
A boa constrictor,/wiki/Boa_constrictor_at_the_zoo,['Boa Constrictor']
