Name,Link,Aliases
Vernon Dursley,/wiki/Vernon_Dursley,"['Mr. Dursley', 'Vernon', 'Vernon Dursley']"
Petunia Dursley,/wiki/Petunia_Dursley,"['Tuney', 'Petunia', 'Mrs. Dursley', 'Petunia Dursley']"
Dudley Dursley,/wiki/Dudley_Dursley,"['Diddy', 'Diddykins', 'Dudders', 'Dudley', 'Popkin', 'My Neffy Poo', 'Dinky Diddydums', 'Ickle Dudleykins', ""Big 'D'"", 'Dudley Dursley']"
Lily Potter,/wiki/Lily_J._Potter,"['Lily', 'Mrs. Potter', 'Lily Potter']"
James Potter,/wiki/James_Potter_I,"['Prongs', 'James', 'James Potter']"
Harry Potter,/wiki/Harry_Potter,"['Undesirable No. 1', 'Plotter', 'Harry', 'Potty', 'Lightning', 'The Chosen One', 'Mr. Potter', 'The Boy Who Lived', 'Vernon Dudley', 'The Boy Who Lied', 'Harry Potter']"
Violet-cloaked wizard,/wiki/Violet-cloaked_wizard,['Violet-cloaked wizard']
Lord Voldemort,/wiki/Tom_Riddle,"['My Lord', 'He-Who-Must-Not-Be-Named', 'You-Know-Who', 'Heir of Slytherin', 'Chief Death Eater', 'The Dark Lord', 'Lord', 'Lord Voldemort']"
Jim McGuffin,/wiki/Jim_McGuffin,"['Jim', 'Jim McGuffin']"
Ted,/wiki/Ted,['Ted']
Vernon Dursley's secretary,/wiki/Vernon_Dursley%27s_secretary,"[""Vernon Dursley's secretary""]"
Albus Dumbledore,/wiki/Albus_Dumbledore,"['Dumbledore', 'Albus', 'Albus Dumbledore']"
Minerva McGonagall,/wiki/Minerva_McGonagall,"['Minerva', 'McGonagall', 'Minerva McGonagall']"
Dedalus Diggle,/wiki/Dedalus_Diggle,"['Diggle', 'Dedalus', 'Dedalus Diggle']"
Poppy Pomfrey,/wiki/Poppy_Pomfrey,"['Pomfrey', 'Poppy', 'Poppy Pomfrey']"
Rubeus Hagrid,/wiki/Rubeus_Hagrid,"['Hagger', 'Rubeus', 'Hagrid', 'Rubeus Hagrid']"
Sirius Black,/wiki/Sirius_Black,"['Snuffles', 'Padfoot', 'Sirius', 'Sirius Black']"
Marge Dursley,/wiki/Marjorie_Dursley,"['Auntie Marge', 'Aunt Marge', 'Margie', 'Marge', 'Marge Dursley']"
Arabella Figg,/wiki/Arabella_Figg,"['Arabella', 'Mrs. Figg', 'Arabella Figg']"
Tibbles,/wiki/Mr_Tibbles,['Tibbles']
Snowy,/wiki/Snowy,['Snowy']
Mr Paws,/wiki/Mr_Paws,"['Mr. Paws', 'Mr Paws']"
